DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-06,EQ,3920.0,4057.0,3909.0,3930.4,4026.0,4031.8,4013.11,4096.0,1528.8,2962621,11889317095.9,121859,ADANIENT
2022-12-07,EQ,4031.0,4057.9,3984.55,4031.8,3998.0,3999.3,4016.92,4096.0,1528.8,1257261,5050318788.85,63713,ADANIENT
2022-12-08,EQ,4010.0,4045.0,4003.35,3999.3,4023.35,4025.0,4027.23,4096.0,1528.8,895075,3604675253.3,43843,ADANIENT
2022-12-09,EQ,4044.0,4094.0,3941.5,4025.0,3995.6,3996.8,4020.27,4096.0,1528.8,2129800,8562377224.6,79946,ADANIENT
2022-12-12,EQ,3997.0,4031.9,3968.75,3996.8,4010.15,4016.7,4008.66,4096.0,1528.8,802499,3216945985.15,38510,ADANIENT
2022-12-13,EQ,4027.8,4072.0,4011.6,4016.7,4060.0,4060.2,4047.97,4096.0,1528.8,1215308,4919535387.65,47587,ADANIENT
2022-12-14,EQ,4076.0,4092.05,4040.0,4060.2,4049.0,4055.8,4067.51,4096.0,1528.8,1114492,4533211917.7,42940,ADANIENT
2022-12-15,EQ,4055.8,4073.05,4025.0,4055.8,4025.25,4043.75,4051.93,4096.0,1528.8,866138,3509530717.8,37452,ADANIENT
2022-12-16,EQ,4018.9,4047.9,3944.05,4043.75,3983.0,3980.8,3992.46,4096.0,1528.8,1598960,6383785498.65,55399,ADANIENT
2022-12-19,EQ,3988.0,4104.0,3971.45,3980.8,4101.0,4075.3,4030.64,4104.0,1528.8,1643404,6623967217.3,53127,ADANIENT
2022-12-20,EQ,4095.0,4172.0,4066.4,4075.3,4165.0,4165.3,4125.2,4172.0,1528.8,3778426,15586756140.3,131294,ADANIENT
2022-12-21,EQ,4175.0,4190.0,3883.25,4165.3,3909.0,3901.95,4005.13,4190.0,1528.8,3585883,14361940522.35,167340,ADANIENT
2022-12-22,EQ,3948.0,3948.0,3817.05,3901.95,3856.0,3868.55,3877.13,4190.0,1528.8,2879658,11164819496.85,134348,ADANIENT
2022-12-23,EQ,3822.0,3848.0,3616.8,3868.55,3650.05,3642.2,3730.4,4190.0,1528.8,3036157,11326065203.65,140276,ADANIENT
2022-12-26,EQ,3653.0,3744.9,3620.0,3642.2,3709.0,3716.75,3711.03,4190.0,1528.8,2162662,8025704748.75,99922,ADANIENT
2022-12-27,EQ,3732.45,3797.9,3695.05,3716.75,3767.15,3769.65,3740.71,4190.0,1528.8,1804911,6751642941.35,72966,ADANIENT
