DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-12-30,EQ,452.75,454.9,448.5,454.4,453.05,451.7,451.71,542.3,268.0,28879190,13045096929.05,198099,SBIN
2021-12-31,EQ,454.25,461.4,453.1,451.7,460.2,460.45,459.07,542.3,268.0,10005842,4593371921.95,128788,SBIN
2022-01-03,EQ,462.0,472.0,460.1,460.45,471.5,470.8,467.17,542.3,269.5,13124509,6131388321.75,168001,SBIN
2022-01-04,EQ,472.5,484.7,471.05,470.8,483.75,483.5,479.89,542.3,269.5,23296671,11179852628.4,246431,SBIN
2022-01-05,EQ,481.9,495.0,479.15,483.5,491.7,492.4,489.5,542.3,269.5,24694169,12087915535.95,240463,SBIN
2022-01-06,EQ,487.7,494.4,485.4,492.4,491.35,491.7,490.44,542.3,269.5,18190843,8921514100.8,195393,SBIN
2022-01-07,EQ,493.45,501.95,489.45,491.7,491.25,491.25,495.38,542.3,269.5,22746330,11268085856.65,254165,SBIN
2022-01-10,EQ,493.35,504.95,492.5,491.25,504.75,503.65,499.62,542.3,269.5,15832274,7910180279.85,178755,SBIN
2022-01-11,EQ,503.0,507.8,499.25,503.65,505.75,505.95,504.2,542.3,269.5,16107950,8121696006.4,214059,SBIN
2022-01-12,EQ,509.9,513.5,508.5,505.95,509.95,510.25,511.05,542.3,269.5,14489616,7404903048.5,178769,SBIN
2022-01-13,EQ,510.0,512.85,507.0,510.25,511.5,511.35,510.36,542.3,269.5,10450974,5333762558.5,160127,SBIN
2022-01-14,EQ,509.0,510.35,505.15,511.35,507.75,508.35,507.82,542.3,269.5,8724574,4430518916.8,151240,SBIN
2022-01-17,EQ,508.0,518.9,507.55,508.35,514.2,514.0,515.37,542.3,269.5,17422211,8978884449.1,230852,SBIN
2022-01-18,EQ,514.0,517.45,505.0,514.0,507.4,506.8,512.7,542.3,269.5,12592506,6456195519.55,144399,SBIN
2022-01-19,EQ,505.0,517.65,500.3,506.8,515.05,515.8,508.61,542.3,269.5,16079457,8178248303.4,190208,SBIN
2022-01-20,EQ,516.0,519.15,508.0,515.8,511.0,511.4,513.81,542.3,269.5,17724642,9107052842.4,193420,SBIN
2022-01-21,EQ,505.3,507.5,498.0,511.4,504.05,502.7,503.16,542.3,269.5,16947941,8527531247.25,215520,SBIN
2022-01-24,EQ,502.4,506.8,488.0,502.7,493.7,494.15,497.31,542.3,269.5,20233933,10062560914.35,255220,SBIN
2022-01-25,EQ,490.0,517.5,489.0,494.15,513.35,514.65,507.46,542.3,269.5,21791739,11058388452.7,290929,SBIN
2022-01-27,EQ,503.55,530.85,503.2,514.65,529.0,528.95,520.47,542.3,269.5,35409230,18429506726.9,391838,SBIN
2022-01-28,EQ,534.0,536.4,521.4,528.95,523.3,523.45,529.78,542.3,269.5,24715250,13093592191.65,310048,SBIN
2022-01-31,EQ,529.0,540.9,527.05,523.45,537.95,538.3,535.63,542.3,282.75,28674232,15358865480.55,315416,SBIN
2022-02-01,EQ,543.95,543.95,520.0,538.3,532.6,532.3,533.59,543.95,282.75,32245356,17205650890.2,330437,SBIN
2022-02-02,EQ,536.65,544.25,531.35,532.3,539.65,539.8,536.94,544.25,282.75,21661864,11631191094.5,222610,SBIN
2022-02-03,EQ,537.15,544.7,537.15,539.8,540.0,540.1,540.99,544.7,282.75,22717677,12290016550.35,323435,SBIN
2022-02-04,EQ,542.15,546.4,527.3,540.1,529.45,530.3,535.9,546.4,282.75,25332894,13575988476.0,325989,SBIN
2022-02-07,EQ,531.9,549.0,525.25,530.3,533.9,533.25,538.29,549.0,321.3,52289545,28146960844.85,564783,SBIN
2022-02-08,EQ,535.5,537.65,519.0,533.25,530.4,531.35,528.4,549.0,321.3,26567546,14038348935.45,305464,SBIN
2022-02-09,EQ,534.95,536.5,527.75,531.35,536.3,535.25,532.72,549.0,321.3,14856155,7914232904.95,191210,SBIN
2022-02-10,EQ,537.1,543.95,534.4,535.25,540.3,540.55,540.35,549.0,321.3,18659370,10082567002.45,228387,SBIN
2022-02-11,EQ,536.25,537.7,527.1,540.55,528.25,529.6,532.27,549.0,321.3,14607095,7774921814.25,177760,SBIN
2022-02-14,EQ,515.0,515.6,499.7,529.6,500.25,501.4,508.66,549.0,321.3,26153332,13303247218.75,364555,SBIN
2022-02-15,EQ,502.0,526.85,497.1,501.4,524.0,524.8,510.42,549.0,321.3,23842951,12170005170.25,270915,SBIN
2022-02-16,EQ,526.5,528.0,514.0,524.8,515.0,516.7,519.94,549.0,321.3,19773807,10281277420.45,223564,SBIN
2022-02-17,EQ,520.0,520.0,511.15,516.7,511.6,512.95,515.23,549.0,321.3,16408356,8454056421.8,183638,SBIN
2022-02-18,EQ,510.1,520.9,510.1,512.95,515.0,515.3,515.84,549.0,321.3,15111223,7794991046.45,167187,SBIN
2022-02-21,EQ,511.55,517.5,504.65,515.3,511.5,511.85,511.82,549.0,321.3,16866932,8632877138.25,186884,SBIN
2022-02-22,EQ,500.9,505.3,495.5,511.85,497.9,498.4,500.1,549.0,321.3,27108772,13557096740.05,285946,SBIN
2022-02-23,EQ,503.0,505.35,497.25,498.4,498.15,498.7,501.32,549.0,321.3,13899433,6968058858.15,174252,SBIN
2022-02-24,EQ,480.0,487.95,468.0,498.7,470.85,472.65,479.75,549.0,321.3,32356037,15522908575.3,430597,SBIN
2022-02-25,EQ,480.0,491.9,479.3,472.65,483.75,482.95,485.29,549.0,321.3,21792287,10575686869.05,245306,SBIN
2022-02-28,EQ,476.9,485.3,473.1,482.95,483.7,483.2,479.74,549.0,321.3,18069367,8668636657.3,240076,SBIN
2022-03-02,EQ,478.0,479.8,467.0,483.2,475.0,474.25,473.1,549.0,321.3,22003848,10409916776.85,319620,SBIN
2022-03-03,EQ,480.0,483.4,464.6,474.25,466.65,467.4,470.45,549.0,321.3,20358590,9577747166.6,255355,SBIN
2022-03-04,EQ,460.3,470.9,457.65,467.4,462.45,461.95,464.01,549.0,321.3,20684268,9597616194.8,271479,SBIN
2022-03-07,EQ,447.5,453.95,433.45,461.95,441.15,440.3,439.85,549.0,321.3,33720472,14832043226.3,474609,SBIN
2022-03-08,EQ,438.0,442.1,425.0,440.3,440.0,440.3,434.44,549.0,321.3,42510207,18468217945.75,431966,SBIN
2022-03-09,EQ,442.0,454.3,438.55,440.3,452.3,451.7,445.45,549.0,321.3,32331325,14402086959.4,347913,SBIN
2022-03-10,EQ,469.9,476.65,461.65,451.7,467.4,468.7,469.95,549.0,321.3,34553299,16238198015.45,328612,SBIN
2022-03-11,EQ,466.4,474.8,462.0,468.7,470.85,470.35,470.21,549.0,321.3,22091309,10387624187.45,219456,SBIN
2022-03-14,EQ,471.0,486.0,470.55,470.35,485.5,485.15,480.43,549.0,321.3,27750689,13332216131.55,275270,SBIN
2022-03-15,EQ,489.0,490.5,480.65,485.15,485.0,485.85,485.62,549.0,321.3,27204899,13211211846.75,300344,SBIN
2022-03-16,EQ,493.0,494.3,489.4,485.85,491.95,492.75,492.21,549.0,321.3,16211288,7979296625.65,172261,SBIN
2022-03-17,EQ,499.0,503.5,498.3,492.75,501.0,501.9,501.29,549.0,321.3,22947673,11503533276.5,221065,SBIN
2022-03-21,EQ,502.0,502.0,489.0,501.9,490.25,490.6,493.32,549.0,321.3,19064060,9404735444.25,224101,SBIN
2022-03-22,EQ,490.6,495.8,477.25,490.6,495.1,493.7,486.29,549.0,321.3,26157969,12720246447.95,264129,SBIN
2022-03-23,EQ,498.5,502.4,489.2,493.7,489.95,490.65,495.13,549.0,321.3,15800195,7823206413.75,168550,SBIN
2022-03-24,EQ,485.0,494.8,483.5,490.65,486.9,487.1,489.44,549.0,321.3,18174877,8895507386.05,191083,SBIN
2022-03-25,EQ,491.75,493.3,486.6,487.1,491.8,490.7,490.04,549.0,321.3,11541196,5655597136.55,145141,SBIN
2022-03-28,EQ,490.95,498.6,481.95,490.7,497.75,497.5,491.67,549.0,321.3,16738684,8229888608.85,201945,SBIN
2022-03-29,EQ,500.0,501.4,491.7,497.5,495.5,495.0,496.03,549.0,321.3,14301429,7093976888.55,149505,SBIN
2022-03-30,EQ,499.3,500.4,492.3,495.0,493.0,494.3,496.58,549.0,321.3,16461225,8174331159.8,196570,SBIN
2022-03-31,EQ,494.3,497.55,492.2,494.3,493.3,493.55,494.45,549.0,321.3,10240982,5063610021.25,124653,SBIN
2022-04-01,EQ,491.0,509.75,491.0,493.55,508.0,508.2,503.37,549.0,321.3,18527226,9326126941.05,197319,SBIN
2022-04-04,EQ,509.3,514.9,506.0,508.2,512.2,512.4,511.42,549.0,321.3,16257176,8314232026.45,198168,SBIN
2022-04-05,EQ,514.4,516.4,507.7,512.4,508.0,509.4,512.46,549.0,321.3,13602384,6970682174.05,152569,SBIN
2022-04-06,EQ,507.0,515.2,506.0,509.4,512.75,513.95,510.73,549.0,321.3,13738275,7016507642.0,156632,SBIN
2022-04-07,EQ,510.05,519.9,510.05,513.95,516.55,514.95,515.08,549.0,321.3,19620958,10106455922.15,193008,SBIN
2022-04-08,EQ,519.5,519.5,512.35,514.95,516.1,516.1,516.11,549.0,321.3,13572638,7004926248.3,142230,SBIN
2022-04-11,EQ,513.5,522.0,513.2,516.1,515.0,514.9,518.25,549.0,321.3,12370288,6410859873.85,181292,SBIN
2022-04-12,EQ,512.75,516.7,504.35,514.9,512.5,512.85,510.3,549.0,321.3,14460680,7379318523.1,179734,SBIN
2022-04-13,EQ,514.3,520.9,513.75,512.85,517.7,517.7,517.08,549.0,321.3,15440525,7983987949.4,150224,SBIN
2022-04-18,EQ,512.0,515.0,504.0,517.7,510.1,509.5,509.48,549.0,321.3,14492183,7383507123.1,206832,SBIN
2022-04-19,EQ,513.25,520.95,505.1,509.5,506.6,511.8,515.99,549.0,321.3,20362934,10507079159.65,240810,SBIN
2022-04-20,EQ,512.0,513.7,507.0,511.8,509.2,509.3,510.2,549.0,321.3,11881305,6061830257.65,153556,SBIN
2022-04-21,EQ,513.4,518.0,512.2,509.3,516.9,516.3,515.24,549.0,321.3,10035638,5170807462.7,108987,SBIN
2022-04-22,EQ,512.9,513.5,499.0,516.3,499.5,500.6,505.07,549.0,321.3,16760456,8465127370.95,208796,SBIN
2022-04-25,EQ,495.0,499.2,490.05,500.6,495.0,494.75,495.06,549.0,339.25,14057444,6959299074.05,186190,SBIN
2022-04-26,EQ,499.0,507.9,498.45,494.75,505.5,505.5,504.31,549.0,339.25,12137213,6120898078.0,158992,SBIN
2022-04-27,EQ,500.0,502.8,491.85,505.5,497.85,497.25,496.78,549.0,339.25,12367342,6143829183.05,142885,SBIN
2022-04-28,EQ,499.15,510.0,496.5,497.25,507.7,507.5,503.04,549.0,339.25,12154792,6114331932.3,134713,SBIN
2022-04-29,EQ,508.1,512.5,494.0,507.5,495.9,496.3,503.59,549.0,339.25,12894773,6493703529.65,143518,SBIN
2022-05-02,EQ,492.65,495.0,481.3,496.3,490.9,491.0,487.35,549.0,341.4,18590895,9060263031.45,232328,SBIN
2022-05-04,EQ,492.0,496.45,477.5,491.0,478.5,479.65,487.2,549.0,341.4,14645323,7135245642.5,221907,SBIN
2022-05-05,EQ,485.0,494.0,478.65,479.65,480.0,480.0,487.16,549.0,341.4,14130385,6883760406.35,185153,SBIN
2022-05-06,EQ,471.0,486.1,471.0,480.0,485.5,483.95,478.71,549.0,341.4,16710020,7999171104.8,216166,SBIN
2022-05-09,EQ,477.1,483.7,473.8,483.95,476.45,475.9,477.81,549.0,354.75,13544947,6471855072.45,170758,SBIN
2022-05-10,EQ,477.0,482.55,473.5,475.9,474.0,475.2,477.99,549.0,354.75,10884328,5202612034.7,183663,SBIN
2022-05-11,EQ,475.25,479.0,463.65,475.2,478.4,476.55,471.45,549.0,354.75,14771351,6963938211.0,241751,SBIN
2022-05-12,EQ,473.0,473.0,456.35,476.55,462.7,462.65,462.77,549.0,354.75,18947096,8768075747.5,314035,SBIN
2022-05-13,EQ,469.45,477.0,439.75,462.65,440.5,444.65,461.88,549.0,354.75,61403008,28360528047.6,595336,SBIN
2022-05-16,EQ,445.0,461.5,438.85,444.65,456.0,455.0,454.93,549.0,363.65,27940958,12711054077.2,283950,SBIN
2022-05-17,EQ,458.3,469.65,456.15,455.0,467.45,467.3,462.65,549.0,363.65,16880698,7809801121.7,206674,SBIN
2022-05-18,EQ,467.9,468.6,457.1,467.3,458.25,458.0,463.11,549.0,363.65,15644497,7245121118.3,205591,SBIN
2022-05-19,EQ,449.05,450.0,444.45,458.0,449.0,447.5,447.36,549.0,363.65,14201420,6353183667.3,223399,SBIN
2022-05-20,EQ,454.85,464.0,454.15,447.5,462.5,462.4,460.64,549.0,363.65,13596860,6263239735.25,151413,SBIN
2022-05-23,EQ,463.1,471.4,459.5,462.4,461.0,460.9,465.61,549.0,400.5,13499415,6285493530.75,170499,SBIN
2022-05-24,EQ,462.4,466.8,460.2,460.9,463.0,462.05,463.29,549.0,400.5,17175179,7957058574.6,139005,SBIN
2022-05-25,EQ,461.0,464.45,452.05,462.05,453.45,454.1,458.77,549.0,400.5,12728644,5839499480.45,154093,SBIN
2022-05-26,EQ,456.85,470.1,452.5,454.1,469.6,468.9,460.09,549.0,400.5,17055257,7846911655.75,208123,SBIN
2022-05-27,EQ,471.4,475.0,467.5,468.9,468.0,468.95,470.69,549.0,400.5,10977001,5166782867.5,160651,SBIN
2022-05-30,EQ,473.0,476.9,471.1,468.95,474.8,474.6,474.04,549.0,400.5,9365470,4439626587.15,151679,SBIN
2022-05-31,EQ,474.0,476.4,465.0,474.6,467.6,468.1,471.12,549.0,400.5,15441579,7274761527.75,149463,SBIN
2022-06-01,EQ,468.0,472.0,464.7,468.1,469.25,468.3,468.69,549.0,400.5,9424008,4416955450.55,119346,SBIN
2022-06-02,EQ,466.9,472.35,466.15,468.3,470.0,469.85,469.68,549.0,400.5,9370989,4401383675.1,114087,SBIN
2022-06-03,EQ,473.25,475.5,463.5,469.85,465.0,464.5,470.15,549.0,400.5,11306291,5315646218.95,114757,SBIN
2022-06-06,EQ,464.2,465.6,456.5,464.5,463.6,463.7,461.88,549.0,400.5,10661432,4924334007.85,137662,SBIN
2022-06-07,EQ,461.85,465.95,460.5,463.7,463.95,463.4,462.95,549.0,400.5,7672515,3551990864.45,108268,SBIN
2022-06-08,EQ,466.6,475.55,463.2,463.4,471.0,471.3,470.58,549.0,400.5,17168871,8079264816.6,192002,SBIN
2022-06-09,EQ,468.95,470.9,462.45,471.3,467.2,466.95,465.94,549.0,400.5,12635601,5887439316.6,158259,SBIN
2022-06-10,EQ,462.0,464.15,458.6,466.95,462.1,461.85,461.6,549.0,400.5,8621104,3979479308.5,127828,SBIN
2022-06-13,EQ,454.0,454.05,442.1,461.85,446.1,445.85,446.07,549.0,400.5,13426836,5989284598.4,203861,SBIN
